title	year	format	source	imdb_id
Hell Comes to Frogtown	1988	NA	Loftet 07	tt0093171
Hellboy II: The Golden Army	2008	DVD	Loftet 01	tt0411477
High Anxiety	1977	NA	Loftet 07	tt0076141
Hocus Pocus	1993	NA	Loftet 07	tt0107120
Hole in One	2009	NA	Loftet 07	tt1263800
Hollywood Ending	2002	NA	Loftet 07	tt0278823
Home Alone	1990	NA	Loftet 07	tt0099785
Home Alone 2: Lost in New York	1992	NA	Loftet 07	tt0104431
House of Angels	1992	DVD	Loftet 05	tt0105916
House of Flying Daggers	2004	DVD	Loftet 05	tt0385004
Husbands and Wives	1992	NA	Loftet 07	tt0104466
I Can't Think Straight	2008	NA	Loftet 07	tt0830570
Ice Age	2002	DVD	Loftet 04	tt0268380
Idiocracy	2006	NA	Loftet 07	tt0387808
Interiors	1978	NA	Loftet 07	tt0077742
Interview with the Vampire	1994	DVD	Loftet 01	tt0110148
Jurassic Park	1993	DVD	Loftet 05	tt0107290
Kamikaze Girls	2004	NA	Loftet 07	tt0416220
Killer's Kiss	1955	DVD	Loftet 05	tt0048254
Kung Fu Panda	2008	NA	Loftet 07	tt0441773
Lady and the Tramp	1955	DVD	Loftet 06	tt0048280
Lady Vengeance	2005	DVD	Loftet 05	tt0451094
Let Me In	2010	NA	Loftet 07	tt1228987
Lilo & Stitch	2002	DVD	Loftet 06	tt0275847
Limitless	2011	NA	Loftet 07	tt1219289
Live Free or Die Hard	2007	NA	Loftet 07	tt0337978
Logan's Run	1976	NA	Loftet 07	tt0074812
Love and Death	1975	NA	Loftet 07	tt0073312
Manhattan	1979	NA	Loftet 07	tt0079522
Marie Antoinette	2006	DVD	Loftet 01	tt0422720
Marie Antoinette	2006	NA	Loftet 07	tt0422720
Marmaduke	2010	NA	Loftet 07	tt1392197
Mary Poppins	1964	DVD	Loftet 04	tt0058331
Matilda	1996	NA	Loftet 07	tt0117008
Mean Girls	2004	NA	Loftet 07	tt0377092
Meet the Robinsons	2007	DVD	Loftet 06	tt0396555
Melancholia	2011	NA	Loftet 07	tt1527186
Memoirs of a Geisha	2005	DVD	Loftet 05	tt0397535
Mermaids	1990	NA	Loftet 07	tt0100140
Metropolis	1927	NA	Loftet 07	tt0017136
Metropolis	2001	NA	Loftet 07	tt0293416
Miss Congeniality	2000	NA	Loftet 07	tt0212346
Monsoon Wedding	2001	DVD	Loftet 05	tt0265343
Monsters, Inc.	2001	DVD	Loftet 06	tt0198781
Moon	2009	NA	Loftet 07	tt1182345
Mulan	1998	DVD	Loftet 06	tt0120762
My Big Fat Greek Wedding	2002	DVD	Loftet 05	tt0259446
My Girl	1991	NA	Loftet 07	tt0102492
My Girl 2	1994	NA	Loftet 07	tt0110613
My Life as a Dog	1985	DVD	Loftet 05	tt0089606
Natural City	2003	NA	Loftet 07	tt0378428
No Escape	2015	NA	Loftet 07	tt1781922
Oldboy	2003	DVD	Loftet 05	tt0364569
Oliver & Company	1988	DVD	Loftet 06	tt0095776
Oliver Twist	1999	DVD	Loftet 05	tt0222608
On the Beach	1959	NA	Loftet 07	tt0053137
One Hundred and One Dalmatians	1961	DVD	Loftet 06	tt0055254
One Point O	2004	NA	Loftet 07	tt0317042
Origin: Spirits of the Past	2006	NA	Loftet 07	tt0493247
Paths of Glory	1957	DVD	Loftet 05	tt0050825
Peter Pan	1953	DVD	Loftet 06	tt0046183
Pinocchio	1940	DVD	Loftet 06	tt0032910
Pirates of the Caribbean: The Curse of the Black Pearl	2003	DVD	Loftet 05	tt0325980
Pocahontas	1995	DVD	Loftet 06	tt0114148
Prayer of the Rollerboys	1990	NA	Loftet 07	tt0102703
Queen of the Damned	2002	DVD	Loftet 01	tt0238546
Radio Days	1987	NA	Loftet 07	tt0093818
Ratatouille	2007	Blu-ray	Loftet 06	tt0382932
Repo Men	2010	NA	Loftet 07	tt1053424
Repo! The Genetic Opera	2008	NA	Loftet 07	tt0963194
Revenge of the Nerds	1984	NA	Loftet 07	tt0088000
