Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
Aladdin	1992	Adventure | Animation | Comedy | Family | Fantasy | Musical | Romance	01:30	Ron Clements | John Musker	DVD		Jan 29, 2025
Alice in Wonderland	1951	Adventure | Animation | Comedy | Family | Fantasy | Musical	01:15	Clyde Geronimi | Wilfred Jackson | Hamilton Luske	DVD		Jan 29, 2025
The AristoCats	1970	Adventure | Animation | Comedy | Family | Musical	01:18	Wolfgang Reitherman	DVD		Jan 29, 2025
Atlantis: The Lost Empire	2001	Action | Adventure | Animation | Family | Fantasy | Science Fiction	01:35	Gary Trousdale | Kirk Wise	DVD		Jan 29, 2025
Bambi	1942	Adventure | Animation | Drama | Family	01:09	James Algar | Samuel Armstrong | David D. Hand	DVD		Jan 29, 2025
Beauty and the Beast	1991	Animation | Family | Fantasy | Musical | Romance	01:24	Gary Trousdale | Kirk Wise	DVD		Jan 29, 2025
The Black Cauldron	1985	Action | Adventure | Animation | Family | Fantasy	01:20	Ted Berman | Richard Rich	DVD		Jan 29, 2025
Brave	2012	Action | Adventure | Animation | Comedy | Drama | Family | Fantasy | Mystery	01:33	Mark Andrews | Brenda Chapman | Steve Purcell	Blu-ray		Jan 29, 2025
Brother Bear	2003	Adventure | Animation | Comedy | Drama | Family | Fantasy | Musical	01:25	Aaron Blaise | Robert Walker	DVD		Jan 29, 2025
Chicken Little	2005	Adventure | Animation | Comedy | Family | Fantasy | Science Fiction	01:21	Mark Dindal	DVD		Jan 29, 2025
Cinderella	1950	Animation | Family | Fantasy | Musical | Romance	01:14	Clyde Geronimi | Wilfred Jackson | Hamilton Luske	DVD		Jan 29, 2025
Countdown to Christmas	2002	Animation | Family	00:25		DVD		Jan 29, 2025
Dumbo	1941	Adventure | Animation | Drama | Family | Fantasy | Musical	01:04	Samuel Armstrong | Norman Ferguson | Wilfred Jackson	DVD		Jan 29, 2025
Fantasia	1940	Animation | Family | Fantasy | Music | Musical	02:04	James Algar | Samuel Armstrong | Ford Beebe Jr.	Blu-ray		Jan 29, 2025
Finding Nemo	2003	Adventure | Animation | Comedy | Family	01:40	Andrew Stanton | Lee Unkrich	DVD		Jan 29, 2025
The Fox and the Hound	1981	Adventure | Animation | Drama | Family	01:23	Ted Berman | Richard Rich | Art Stevens	DVD		Jan 29, 2025
The Great Mouse Detective	1986	Adventure | Animation | Family | Musical | Mystery	01:14	Ron Clements | Burny Mattinson | David Michener	DVD		Jan 29, 2025
The Jungle Book	1967	Adventure | Animation | Comedy | Family | Musical	01:18	Wolfgang Reitherman	DVD		Jan 29, 2025
Lady and the Tramp	1955	Adventure | Animation | Comedy | Family | Musical | Romance	01:16	Clyde Geronimi | Wilfred Jackson | Hamilton Luske	DVD		Jan 29, 2025
Lilo & Stitch	2002	Adventure | Animation | Comedy | Drama | Family | Fantasy | Science Fiction	01:25	Dean DeBlois | Chris Sanders	DVD		Jan 29, 2025
The Lion King	1994	Adventure | Animation | Drama | Family | Fantasy | Musical	01:28	Roger Allers | Rob Minkoff	DVD		Jan 29, 2025
The Little Mermaid	1989	Adventure | Animation | Family | Fantasy | Musical | Romance	01:23	Ron Clements | John Musker	DVD		Jan 29, 2025
The Many Adventures of Winnie the Pooh	1977	Animation | Comedy | Family | Musical	01:14	John Lounsbery | Wolfgang Reitherman | Ben Sharpsteen	DVD		Jan 29, 2025
Meet the Robinsons	2007	Adventure | Animation | Comedy | Family | Musical | Science Fiction	01:35	Stephen J. Anderson	DVD		Jan 29, 2025
Monsters, Inc.	2001	Adventure | Animation | Comedy | Family | Fantasy	01:32	Peter Docter | David Silverman | Lee Unkrich	DVD		Jan 29, 2025
Mulan	1998	Adventure | Animation | Comedy | Family | Fantasy | Musical | War	01:27	Tony Bancroft | Barry Cook	DVD		Jan 29, 2025
The Nightmare Before Christmas	1993	Animation | Family | Fantasy | Musical	01:16	Henry Selick	Blu-ray		Jan 29, 2025
Oliver & Company	1988	Adventure | Animation | Comedy | Family | Musical	01:14	George Scribner	DVD		Jan 29, 2025
One Hundred and One Dalmatians	1961	Adventure | Animation | Comedy | Family	01:19	Clyde Geronimi | Hamilton Luske | Wolfgang Reitherman	DVD		Jan 29, 2025
Peter Pan	1953	Adventure | Animation | Family | Fantasy | Musical	01:17	Clyde Geronimi | Wilfred Jackson | Hamilton Luske	DVD		Jan 29, 2025
Pinocchio	1940	Adventure | Animation | Comedy | Family | Fantasy | Musical	01:28	Norman Ferguson | T. Hee | Wilfred Jackson	DVD		Jan 29, 2025
Pocahontas	1995	Adventure | Animation | Drama | Family | Musical | Romance	01:21	Mike Gabriel | Eric Goldberg	DVD		Jan 29, 2025
Ratatouille	2007	Adventure | Animation | Comedy | Family | Fantasy	01:51	Brad Bird | Jan Pinkava	Blu-ray		Jan 29, 2025
The Rescuers	1977	Adventure | Animation | Comedy | Family | Fantasy	01:17	John Lounsbery | Wolfgang Reitherman | Art Stevens	DVD		Jan 29, 2025
The Rescuers Down Under	1990	Adventure | Animation | Comedy | Family | Fantasy	01:17	Hendel Butoy | Mike Gabriel	DVD		Jan 29, 2025
Robin Hood	1973	Adventure | Animation | Comedy | Family | Musical | Romance	01:23	Wolfgang Reitherman | David D. Hand	DVD		Jan 29, 2025
Sleeping Beauty	1959	Adventure | Animation | Family | Fantasy | Musical | Romance	01:15	Les Clark | Clyde Geronimi | Eric Larson	DVD		Jan 29, 2025
Snow White and the Seven Dwarfs	1937	Adventure | Animation | Family | Fantasy | Musical | Romance	01:23	William Cottrell | David D. Hand | Wilfred Jackson	Blu-ray		Jan 29, 2025
The Sword in the Stone	1963	Adventure | Animation | Comedy | Family | Fantasy | Musical	01:19	Wolfgang Reitherman | Clyde Geronimi | David D. Hand	DVD		Jan 29, 2025
Tangled	2010	Adventure | Animation | Comedy | Family | Fantasy | Musical | Romance	01:40	Nathan Greno | Byron Howard	Blu-ray		Jan 29, 2025
Tarzan	1999	Adventure | Animation | Comedy | Drama | Family | Music	01:28	Chris Buck | Kevin Lima	DVD		Jan 29, 2025
