Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
300	2006	Action | Drama	01:57	Zack Snyder	DVD		Jan 28, 2025
Asterix and the Vikings	2006	Adventure | Animation | Comedy | Family | Fantasy | Romance	01:18	Stefan Fjeldmark | Jesper Møller	DVD		Jan 28, 2025
Asterix at the Olympic Games	2008	Adventure | Comedy | Family | Fantasy	01:56	Frédéric Forestier | Thomas Langmann	DVD		Jan 28, 2025
Blade	1998	Action | Horror | Science Fiction	02:00	Stephen Norrington	DVD		Jan 28, 2025
Blade: The Series	2006	Action | Drama | Fantasy | Horror | Mystery | Science Fiction	12:00	Alex Chapple | Felix Enriquez Alcala | Michael Robison	DVD		Jan 28, 2025
Bram Stoker's Dracula	1992	Fantasy | Horror | Romance	02:08	Francis Ford Coppola	DVD		Jan 28, 2025
Captain America: The First Avenger	2011	Action | Adventure | Science Fiction	02:04	Joe Johnston	Blu-ray		Jan 28, 2025
Crash	1996	Drama	01:40	David Cronenberg	DVD		Jan 28, 2025
Death Proof	2007	Drama | Thriller	02:07	Quentin Tarantino	DVD		Jan 28, 2025
Evangelion Shin Gekijôban: Jo	2007	Action | Animation | Drama | Science Fiction	01:38	Hiroshi Haraguchi | Masayuki | Kazuya Tsurumaki	DVD		Jan 28, 2025
Fantastic Four	2005	Action | Adventure | Fantasy | Science Fiction	01:46	Tim Story	DVD		Jan 28, 2025
Fargo	1996	Crime | Drama | Thriller	01:38	Joel Coen | Ethan Coen	DVD		Jan 28, 2025
Finding Neverland	2004	Biography | Drama | Family	01:46	Marc Forster	DVD		Jan 28, 2025
Free Jimmy	2006	Animation | Comedy	01:26	Christopher Nielsen	DVD		Jan 28, 2025
Harold and Maude	1971	Comedy | Drama | Romance	01:31	Hal Ashby	DVD		Jan 28, 2025
Hellboy II: The Golden Army	2008	Action | Adventure | Fantasy | Horror | Science Fiction	02:00	Guillermo del Toro	DVD		Jan 28, 2025
The Hunger	1983	Drama | Horror	01:37	Tony Scott	DVD		Jan 28, 2025
Interview with the Vampire	1994	Drama | Fantasy | Horror	02:03	Neil Jordan	DVD		Jan 28, 2025
Marie Antoinette	2006	Biography | Drama | History | Romance	02:03	Sofia Coppola	DVD		Jan 28, 2025
The Proposition	2005	Crime | Drama | Western	01:44	John Hillcoat	DVD		Jan 28, 2025
Queen of the Damned	2002	Drama | Fantasy | Horror	01:41	Michael Rymer	DVD		Jan 28, 2025
Short Cuts	1993	Comedy | Drama	03:08	Robert Altman	DVD		Jan 28, 2025
The Spirit	2008	Action | Crime | Fantasy | Thriller	01:43	Frank Miller	DVD		Jan 28, 2025
Sucker Punch	2011	Action | Adventure | Fantasy	01:50	Zack Snyder	DVD		Jan 28, 2025
True Grit	2010	Drama | Western	01:50	Ethan Coen | Joel Coen	DVD		Jan 28, 2025
Underworld	2003	Action | Fantasy | Thriller	02:01	Len Wiseman	DVD		Jan 28, 2025
Underworld: Evolution	2006	Action | Fantasy | Thriller	01:46	Len Wiseman	DVD		Jan 28, 2025
Valhalla Rising	2009	Action | Adventure | Drama | Fantasy	01:33	Nicolas Winding Refn	DVD		Jan 28, 2025
Vals Im Bashir	2008	Animation | Biography | Documentary | Drama | History | Mystery | War	01:30	Ari Folman	DVD		Jan 28, 2025
X (Manga)	2001	Action | Animation | Drama | Fantasy | Thriller	01:38	Yoshiaki Kawajiri | Masahiko Ôta | Hiro Hamasaki	DVD		Jan 28, 2025
X-Men	2000	Action | Adventure | Science Fiction	01:44	Bryan Singer	DVD		Jan 28, 2025
X-Men Origins: Wolverine	2009	Action | Science Fiction	01:47	Gavin Hood	DVD		Jan 28, 2025
X-Men: The Last Stand	2006	Action | Adventure | Science Fiction	01:44	Brett Ratner	DVD		Jan 28, 2025
X2: X-Men United	2003	Action | Science Fiction | Thriller	02:14	Bryan Singer	DVD		Jan 28, 2025
