Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
A.I. Artificial Intelligence	2001	Adventure | Drama | Science Fiction	02:26	Steven Spielberg	DVD		Jan 28, 2025
The Abyss	1989	Adventure | Drama | Mystery | Science Fiction | Thriller	02:20	James Cameron	DVD		Jan 28, 2025
The Animatrix	2003	Action | Animation | Science Fiction	01:30	Peter Chung | Andy Jones | Yoshiaki Kawajiri	DVD		Jan 28, 2025
Babylon 5: In the Beginning	1998	Action | Adventure | Drama | Science Fiction	01:34	Michael Vejar			Jan 28, 2025
Battlestar Galactica	2003	Action | Adventure | Drama | Science Fiction	02:55	Michael Rymer	Blu-ray		Jan 28, 2025
Battlestar Galactica	2003	Action | Adventure | Drama | Science Fiction	02:55	Michael Rymer	DVD		Jan 28, 2025
Battlestar Galactica: Razor	2007	Action | Drama | Science Fiction | Thriller	01:41	Felix Enriquez Alcala	Blu-ray		Jan 28, 2025
Battlestar Galactica: Season 1	2005	Action | Adventure | Drama | Science Fiction	09:15	Michael Rymer | Rod Hardy | Allan Kroeker	Blu-ray		Jan 28, 2025
Battlestar Galactica: Season 1	1979	Action | Adventure | Science Fiction	23:13	Rod Holcomb | Christian I. Nyby II | Alan J. Levi	DVD		Jan 28, 2025
Battlestar Galactica: Season 2	2006	Action | Adventure | Drama | Science Fiction	20:06	Michael Rymer | Sergio Mimica-Gezzan | Jeff Woolnough	Blu-ray		Jan 28, 2025
Battlestar Galactica: Season 3	2006	Action | Adventure | Drama | Science Fiction	15:09	Michael Rymer | Sergio Mimica-Gezzan | Felix Enriquez Alcala	Blu-ray		Jan 28, 2025
Battlestar Galactica: Season 4	2008	Action | Adventure | Drama | Science Fiction	16:00	Michael Rymer | Michael Nankin | Rod Hardy	Blu-ray		Jan 28, 2025
Blade Runner	1982	Action | Drama | Science Fiction | Thriller	01:57	Ridley Scott	DVD		Jan 28, 2025
Blade Runner 2049	2017	Action | Drama | Mystery | Science Fiction | Thriller	02:44	Denis Villeneuve	Blu-ray		Jan 28, 2025
The Captain's Summit	2009	Documentary	01:10	Tim King			Jan 28, 2025
Contact	1997	Drama | Mystery | Science Fiction | Thriller	02:30	Robert Zemeckis	DVD		Jan 28, 2025
Earth 2: The Complete Series	1994	Adventure | Science Fiction	04:00	Jim Charleston | John Harrison | Joe Napolitano	DVD		Jan 28, 2025
Firefly: The Complete Series	2002	Adventure | Drama | Science Fiction	10:51	Joss Whedon | Tim Minear | Vern Gillum	DVD		Jan 28, 2025
The Matrix	1999	Action | Science Fiction	02:16	Lana Wachowski | Lilly Wachowski	DVD		Jan 28, 2025
The Matrix Reloaded	2003	Action | Science Fiction	02:18	Lana Wachowski | Lilly Wachowski	DVD		Jan 28, 2025
The Matrix Revolutions	2003	Action | Science Fiction	02:09	Lana Wachowski | Lilly Wachowski	DVD		Jan 28, 2025
Serenity	2005	Action | Adventure | Science Fiction | Thriller	01:59	Joss Whedon	DVD		Jan 28, 2025
Star Trek	2009	Action | Adventure | Science Fiction	02:07	J.J. Abrams	DVD		Jan 28, 2025
Star Trek Evolutions	2009	Science Fiction	00:14	Tim King			Jan 28, 2025
Star Trek II: The Wrath of Khan	1982	Action | Adventure | Science Fiction	01:53	Nicholas Meyer			Jan 28, 2025
Star Trek III: The Search for Spock	1984	Action | Adventure | Science Fiction	01:45	Leonard Nimoy			Jan 28, 2025
Star Trek IV: The Voyage Home	1986	Adventure | Comedy | Science Fiction	01:59	Leonard Nimoy			Jan 28, 2025
Star Trek V: The Final Frontier	1989	Action | Adventure | Fantasy | Science Fiction | Thriller	01:47	William Shatner			Jan 28, 2025
Star Trek VI: The Undiscovered Country	1991	Action | Adventure | Science Fiction | Thriller	01:50	Nicholas Meyer			Jan 28, 2025
Star Trek: First Contact	1996	Action | Adventure | Drama | Science Fiction | Thriller	01:51	Jonathan Frakes			Jan 28, 2025
Star Trek: Generations	1994	Action | Adventure | Mystery | Science Fiction | Thriller	01:58	David Carson			Jan 28, 2025
Star Trek: Insurrection	1998	Action | Adventure | Science Fiction | Thriller	01:43	Jonathan Frakes			Jan 28, 2025
