Title	Release Date	Genres	Runtime	Director	Format	Distributor	Added Date
Star Trek: Nemesis	2002	Action | Adventure | Science Fiction | Thriller	01:56	Stuart Baird			Jan 28, 2025
Star Trek: The Motion Picture	1979	Adventure | Mystery | Science Fiction	02:23	Robert Wise			Jan 28, 2025
Star Trek: The Original Series: Season 1	1988	Action | Adventure | Science Fiction	25:13	Robert Butler | Marc Daniels | Joseph Pevney	DVD		Jan 28, 2025
Star Trek: The Original Series: Season 2	1968	Action | Adventure | Science Fiction	21:40	Joseph Pevney | Marc Daniels | Ralph Senensky	DVD		Jan 28, 2025
Star Trek: The Original Series: Season 3	1969	Action | Adventure | Science Fiction	20:23	Jud Taylor | Herb Wallerstein | Marvin J. Chomsky	DVD		Jan 28, 2025
Star Wars: Episode IV - A New Hope	1977	Action | Adventure | Fantasy | Science Fiction	02:01	George Lucas	DVD		Jan 28, 2025
Star Wars: Episode V - The Empire Strikes Back	1980	Action | Adventure | Fantasy | Science Fiction	02:04	Irvin Kershner	DVD		Jan 28, 2025
Star Wars: Episode VI - Return of the Jedi	1983	Action | Adventure | Fantasy | Science Fiction	02:11	Richard Marquand	DVD		Jan 28, 2025
Taken	2002	Drama | Mystery | Science Fiction | Thriller	13:33	Bryan Spicer | Tobe Hooper | Thomas J. Wright	DVD		Jan 28, 2025
The Terminator	1984	Action | Adventure | Science Fiction	01:47	James Cameron	DVD		Jan 28, 2025
Terminator 2: Judgment Day	1991	Action | Adventure | Science Fiction	02:17	James Cameron	DVD		Jan 28, 2025
Terminator 3: Rise of the Machines	2003	Action | Science Fiction	01:49	Jonathan Mostow	DVD		Jan 28, 2025
Terminator Salvation	2009	Action | Adventure | Science Fiction	01:55	McG	DVD		Jan 28, 2025
